veg,wholesale,farmshop,supermarket,our price
 ,Wholesale Price Range (average) / £ ,Retail / Farm Shop Price Range (average) /  £ - see note below ,Retail / Supermarket Price Range (average) /  £ Typical prices only for comparison - ,
 ,week 24,week 24, see note below,
Asparagus (250g),2.29-3.00 (2.65),3.38-4.95 (4.08), ,
Aubergine (kg),3.45-5.00 (4.41),1.50*, ,hello
Beetroot (kg),0.50-1.26 (0.96),1.25-2.20 (1.65),2.98-4.29 (3.76),
Broad Beans (kg),2.19-2.90 (2.50),3.10-4.00 (3.55), ,
"Broccoli, purple sprouting (kg)",-,4.40*, -,
"Cabbage, green  (unit)",1.40-2.10 (1.82),1.75-2.20 (1.98),1.20-1.75 (1.46)**,
"Cabbage, red (unit)", 0.98-1.26 (1.12),-,1.20-1.75 (1.46)**,
"Cabbage, Spring greens (unit)",1.03-2.10 (1.51),-,-,
"Cabbage, Summer (unit)",0.97-2.10 (1.44),1.74-2.20 (1.98), ,
"Cabbage, white (unit)",1.05-1.26 (1.16),1.50*,1.20-1.75 (1.46)**,
Carrots (kg or bunch),0.91-1.73 (1.28),1.50-1.90 (1.70),1.20-1.75 (1.46)**,
Cauliflower (unit), 1.40-1.82 (1.59),-,1.80-2.15 (1.99),
Celeriac (kg),1.68*,1.54*,-,
Celery (unit),1.01-1.51 (1.30),1.40-2.30 (1.86), ,
"Chard, rainbow, red, green (kg)",3.67-7.00 (5.69),8.00-8.33 (8.11),-,
Courgettes (kg),0.84-4.13 (2.38),1.75*, ,
Cucumbers (unit),1.25-1.37 (1.31),1.75*, ,
"Kale, all types (kg)",1.68-6.67 (4.32),5.00-9.25 (7.42),-,hi
Kohl Rabi (kg),0.84-2.21 (1.42),-, ,
Leeks (kg),2.38-2.52 (2.45), 3.33*,3.75-5.71 (4.69),hi
Lettuce (unit), 0.76-1.50 (1.04),1.50-2.42 (1.95),1.17-1.99 (1.53),
Mushrooms - Brown (kg),3.85-7.75 (5.85), 4.80-8.15 (6.99),4.00-5.96 (4.89),
Mushrooms - Portobello (kg),6.12-7.76 (6.72),8.00*, 10.00*,
Mushrooms - Shiitake (kg),21.45*, -,-,
"Mushrooms, white (kg)",3.57-7.00 (5.05), 7.25-7.40 (7.33),3.00-4.40 (3.72),
"Onions, red (kg)",1.12*,2.10*,1.60-2.60 (2.21),
"Onions, white, (kg)",0.77-1.62 (1.26), 1.30-2.30 (1.97),0.90-2.39 (1.59),
Pak Choi (unit),1.02-2.10 (1.56),1.30-2.60 (1.95), ,
Parsnips (kg),1.26-1.54 (1.42),1.80-2.20 (2.00), 3.40-3.60 (3.50),
Potatoes - new (kg),1.68-2.80 (2.09),2.15-4.43 (3.13),-,
Potatoes - salad (kg), 0.62-1.37 (1.00),1.27-2.30 (1.79),1.17-2.00 (1.72),
Potatoes - general (kg),0.45-1.05 (0.70),1.10-2.70 (1.53),0.97-1.73 (1.28),
Salad Pack  (100-150g), 1.20-1.84 (1.52),1.20-3.00 (2.09),-,
Spinach (kg),3.50-6.90 (5.16),8.33-11.20 (9.77),-,
Spring onions (bunch),0.90-1.67 (1.22),1.20*, 0.55-1.10 (0.86),
"Squash, any (kg/unit)",1.35-3.08 (1.98),-,-,
Swedes (kg),1.26-1.40 (1.33),1.00*,1.99*,
"Tomatoes, Cherry (kg)",3.33-6.40 (5.87),8.60-10.06 (9.30), ,
Tomatoes (kg),2.76-4.50 (3.63),4.40-7.50 (6.40), ,
Watercress (bunch),1.29-1.70 (1.54),1.90-2.47 (2.26),2.10*,
 , , , ,
Apples (kg),1.95-2.60 (2.32),1.73-4.20 (3.10),2.32-4.38 (3.10),
Pears (kg),2.28-3.12 (2.62),3.54*, 3.00-5.00 (3.97),
Rhubarb (kg),2.53-3.52 (3.184),3.60-5.90 (5.00),-,7
Strawberries (kg),8.58-11.11 (9.66), 9.6015.00 (12.30), ,
